name,Calcium (Ca),Copper (Cu),Magnesium (Mg),Phosphorus (P),Potassium (K),Total Selenium,Total iron,Zinc (Zn),"niacin equivalents, total",riboflavin,thiamin,vitamin B-12,"vitamin B-6, total",vitamin E; alpha-tocopherol equiv from E vitamer activities,"vitamin K, total"
"Drage, sugar coated, QUAL Sugar free",4.0,0.05,2.0,3.0,5.0,0.0,0.2,0.04,0.017,0.0,0.0,0.0,,0.0,0.0
Dried apples,50.0,0.11,16.0,50.0,900.0,0.001,1.0,0.5,3.03,0.1,0.1,0.0,0.12,1.5,0.018
Dried apricots,90.0,0.4,65.0,120.0,1500.0,0.007,4.0,0.2,3.417,0.16,0.17,0.0,0.15,4.0,0.018
Dried bananas,14.5,0.348,97.0,16.9,1183.0,0.0009,1.134,0.522,1.743,0.148,0.113,0.0,0.934,0.783,0.0
Dried dates,70.0,0.26,50.0,60.0,600.0,0.003,1.5,0.3,2.633,0.1,0.05,0.0,0.1,0.7,0.0
Dried egg pasta,23.0,0.195,42.0,153.0,219.0,,2.971,1.208,4.7,0.073,0.17,0.0,0.06,0.1,0.0
"Dried egg pasta, PROCESS Baking",9.0,0.153,31.0,62.0,53.0,,0.8,1.058,0.78,0.03,0.02,0.0,0.02,0.04,0.0
"Dried egg pasta, PROCESS Cooking in water",21.0,0.15,31.0,88.0,40.0,0.0156,1.2,0.9,1.3,0.03,0.02,0.00016,0.024,0.4,0.0
"Dried egg pasta, PROCESS Steaming",21.0,0.15,31.0,88.0,40.0,,1.2,0.9,1.3,0.03,0.02,0.0,0.024,0.4,0.0
Dried figs,162.0,0.29,68.0,67.0,680.0,0.001,2.0,0.55,1.817,0.08,0.09,0.0,0.106,0.4,0.0
Dried fish,685.0,0.019,12.0,780.0,,0.156,,0.38,10.87,0.08,0.1,0.00085,0.2,0.5,0.0
"Dried fish, PROCESS Baking",84.0,0.08,48.0,240.0,350.0,,0.347,0.491,6.123,0.049,0.053,0.0013,0.194,1.13,0.0
"Dried fish, PROCESS Cooking in water",84.0,0.08,48.0,240.0,350.0,,0.347,0.491,6.123,0.049,0.053,0.0013,0.194,1.13,0.0
"Dried fish, PROCESS Steaming",84.0,0.08,48.0,240.0,350.0,,0.347,0.491,6.123,0.049,0.053,0.0013,0.194,1.13,0.0
Dried mushrooms,73.0,8.71,110.0,970.0,3870.0,0.11,7.3,4.8,58.758,3.473,,0.0,0.61,14.86,0.164
"Dried mushrooms, PROCESS Cooking in water",12.0,0.381,12.0,136.0,338.0,,1.116,0.511,5.22,0.389,0.08,0.0,0.058,0.086,0.015
"Dried mushrooms, PROCESS Steaming",12.0,0.381,12.0,136.0,338.0,,1.116,0.511,5.22,0.389,0.08,0.0,0.058,0.086,0.015
Dried pears,100.0,0.3,35.0,150.0,750.0,0.002,1.0,0.5,0.638,0.04,0.2,0.0,0.12,,0.019
Dried prunes,30.0,0.16,27.0,60.0,860.0,0.001,1.0,0.53,1.73,0.06,0.3,0.0,0.25,2.3,0.039
"Dried prunes, PROCESS Baking",30.0,0.04,,38.0,450.0,0.0005,1.4,0.2,0.733,0.1,0.065,0.0,0.125,4.359,
"Dried prunes, PROCESS Cooking in water",19.0,0.08,13.0,42.0,440.0,0.001,1.5,0.3,0.9,0.08,0.04,0.0,0.1,1.832,0.017
"Dried prunes, PROCESS Steaming",19.0,0.08,13.0,42.0,440.0,0.001,1.5,0.3,0.9,0.08,0.04,0.0,0.1,1.765,0.016
Dried vegetables,128.0,0.677,114.0,363.0,1617.0,,4.323,2.642,11.126,0.52,0.833,0.0,1.303,4.943,0.164
Dried vine fruits (raisins etc.),50.0,0.39,42.0,90.0,800.0,0.008,2.0,0.18,2.1,0.03,0.08,0.0,0.15,0.7,0.004
Drums,74.0,0.8,61.0,,527.0,,14.4,2.1,,,,,,,
Dry and fermented sausages-deprecated,29.0,0.06,16.0,169.0,249.0,0.011,1.5,2.34,8.3,0.12,0.21,0.00092,0.165,0.5,0.01
"Dry and fermented sausages-deprecated, QUAL Low fat (naturally or reduced)",29.0,0.09,16.0,150.0,249.0,0.011,1.5,2.69,5.5,0.12,0.21,0.00092,0.165,,
Duck eggs,64.0,0.1,17.0,220.0,222.0,,3.85,1.41,4.7,0.404,0.156,0.0054,0.25,0.46,0.0
"Duck eggs, PROCESS Cooking in water",60.0,0.095,15.0,169.0,143.0,,2.565,1.33,4.287,0.424,0.128,0.0043,0.2,0.46,0.0
Duck fresh meat,10.0,0.18,14.0,200.0,300.0,0.034,2.0,1.3,6.983,0.2,0.3,0.003,0.4,0.46,0.002
"Duck fresh meat, PROCESS Baking",13.0,0.306,24.0,312.0,315.0,0.024,2.57,2.34,9.61,0.377,0.129,0.00049,0.64,,
"Duck fresh meat, PROCESS Cooking in water",15.0,0.148,19.0,170.0,162.0,,2.664,2.245,8.362,0.232,0.146,0.0002,0.242,0.0,0.001
"Duck fresh meat, PROCESS Steaming",15.0,0.148,19.0,170.0,162.0,,2.664,2.245,8.362,0.232,0.146,0.0002,0.242,0.0,0.001
Duck liver,11.0,5.962,20.0,269.0,240.0,,30.5,3.07,14.017,2.5,0.56,0.054,0.76,0.4,0.0
"Duck liver, PROCESS Baking",43.0,7.52,20.0,261.0,240.0,0.061,30.5,3.07,10.33,3.2,0.31,0.054,0.93,,
"Duck liver, PROCESS Frying",10.0,,15.0,190.0,170.0,,6.4,,,0.6,0.34,,,0.35,
Dulse,70.0,0.265,2.0,58.0,,,1.8,1.05,2.737,0.45,0.1,0.0,0.16,0.0,0.0
"Dulse, PROCESS Cooking in water",45.0,0.158,2.0,35.0,199.0,,1.008,0.623,1.558,0.222,0.033,0.0,0.053,0.0,0.0
"Dulse, PROCESS Steaming",45.0,0.158,2.0,35.0,199.0,,1.008,0.623,1.558,0.222,0.033,0.0,0.053,0.0,0.0
"Dumpling, sweet",51.0,0.054,12.0,83.0,141.0,,0.46,0.549,1.78,0.129,0.069,0.0003,0.04,0.386,0.002
Durum wheat grain,23.0,0.14,20.0,103.0,156.0,0.005,0.8,0.64,7.6,0.04,0.18,0.0,0.12,0.4,0.0
"Durum wheat grain, PROCESS Baking",12.0,0.14,37.0,122.0,115.0,,1.198,0.917,2.121,0.025,0.14,0.0,0.046,0.377,0.0
"Durum wheat grain, PROCESS Cooking in water",39.0,0.18,32.0,105.0,119.0,0.0016,1.0,0.94,2.193,0.05,0.14,0.0,0.05,0.1,0.0
"Durum wheat grain, PROCESS Steaming",39.0,0.18,32.0,105.0,119.0,0.0016,1.0,0.94,2.193,0.05,0.14,0.0,0.05,0.1,0.0
Egg liqueur,20.0,0.09,4.0,81.0,52.0,0.006,0.8,0.47,1.4,0.13,0.02,0.00053,0.031,1.1,0.004
Eggs from other eggs producer birds,99.0,0.1,14.0,170.0,140.0,0.0803,4.1,1.4,4.0,0.47,0.11,0.009300000000000001,0.12,0.26,0.0
"Eggs from other eggs producer birds, PROCESS Cooking in water",57.0,0.095,15.0,200.0,200.0,,3.42,1.264,3.427,0.306,0.118,0.0040999999999999995,0.189,0.36,0.0
Elderberries,37.0,0.06,30.0,48.0,290.0,,1.6,0.21,2.347,0.07,0.07,0.0,0.24,1.0,0.0
Energy drinks,5.0,0.01,,20.0,,,,,7.2,0.65,,0.0004,0.8,0.0,0.0
Equine fresh meat,12.0,0.21,23.0,200.0,300.0,0.003,3.2,4.0,8.6,0.1,0.12,0.003,0.25,0.2,0.0
"Equine fresh meat, PROCESS Baking",13.0,0.15,28.0,210.0,383.0,0.01,0.8,1.7,14.7,0.14,0.115,0.01,0.6,0.4,0.0
"Equine fresh meat, PROCESS Frying",10.0,,27.0,229.0,301.0,,4.4,3.4,8.7,0.14,0.06,0.0026,0.24,,
Escaroles,54.0,0.05,11.0,36.0,253.0,0.001,1.2,0.55,0.8,0.06,0.04,0.0,0.057,0.3,0.231
Escaroles and similar-,54.0,0.05,11.0,36.0,253.0,0.001,1.2,0.55,0.793,0.06,0.04,0.0,0.057,0.3,0.231
"Escaroles and similar-, PROCESS Baking",45.9,0.109,13.2,39.5,228.0,0.0022,0.9,0.177,0.205,0.045,0.04,0.0,,,
"Escaroles and similar-, PROCESS Cooking in water",60.0,0.06,9.0,25.0,163.0,0.0,0.5,0.27,0.5,0.06,0.05,0.0,0.081,0.8,
"Escaroles and similar-, PROCESS Steaming",60.0,0.06,9.0,25.0,163.0,,0.5,0.27,0.5,0.06,0.05,0.0,0.081,0.8,
European moose meat,6.0,0.26,27.0,220.0,390.0,0.004,3.5,4.6,5.6,0.3,0.3,0.0063,0.63,0.8,0.0014
"European moose meat, PROCESS Baking",10.1,0.3731,38.9,315.1,557.7,0.0057,5.0,6.6,8.0,0.39,0.24,0.0072,0.9,1.1,
"European moose meat, PROCESS Frying",10.4,0.3735,39.0,315.2,557.8,0.0057,5.0,6.6,8.0,0.39,0.26,0.0072,0.9,1.1,
"Evaporated milk (liquid, unsweetened)",212.0,,21.0,206.0,306.0,0.003,0.1,0.65,2.427,0.32,0.04,0.00038,0.048,0.1,0.0
"Extra hard cheese (parmesan, grana type)",1109.0,0.03,38.0,729.0,125.0,0.014,0.9,3.87,8.95,0.486,0.029,0.0016,0.049,0.765,0.0
"Extruded, pressed or puffed bread",26.0,0.12,25.0,110.0,160.0,,1.2,0.7,5.5,0.08,0.12,,0.1,0.44,
Fennel leaves,185.0,0.09,29.0,72.0,641.0,0.0001,,0.46,2.633,0.3,0.12,0.0,0.2,,0.79
Fennel seed,1196.0,1.07,385.0,487.0,1694.0,,18.5,3.7,10.22,0.353,0.408,0.0,0.1,0.8,0.0
Fenugreek seed,130.0,1.8,170.0,340.0,650.0,,23.3,6.9,9.323,0.35,0.33,0.0,0.2,0.0,0.0
Fermented tea infusion,5.0,0.01,1.0,2.0,8.0,,,0.01,0.1,,,0.0,0.018,0.0,0.0
Figs,54.0,0.06,15.0,32.0,253.0,,0.6,0.3,0.7,0.05,0.06,0.0,0.11,0.1,0.0
Filled chocolate,95.0,0.45,32.0,110.0,192.0,0.002,1.2,0.66,1.83,0.17,0.04,,0.03,1.2,
Filmjlk,116.0,,12.0,91.0,162.0,0.0018,0.04,0.44,0.07,0.14,0.04,0.00027,0.04,0.07,0.0
"Filmjlk, QUAL Low fat (naturally or reduced)",119.0,,12.0,94.0,166.0,0.0018,0.04,0.45,0.07,0.15,0.04,0.00027,0.04,0.01,0.0
Filtered tap water,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finger food,147.0,0.132,22.9,179.0,154.0,0.0055,1.77,1.46,4.95,0.28,0.24,0.00044,0.15,0.49,
Firm brined cheese (ricotta salata type),240.0,,13.0,170.0,110.0,0.0145,0.4,1.3,2.933,0.19,0.02,0.0003,0.03,0.03,0.0
Firm-ripened bloomy (white mould) or washed rind cheese,664.0,0.06,14.0,450.0,112.0,0.008,0.23,3.5,0.15,0.2,0.02,0.0015,0.07,0.5,
Firm-ripened blue mould-veined cheese,540.0,0.07,23.0,360.0,96.7,0.0075,0.14,5.1,6.0,0.5,0.04,0.00123,0.23,0.76,0.0
"Firm-ripened cheese with added herbs, spices or other ingredients",,,,,,,,,,,0.05,,,,
Firm/semi-hard cheese (gouda and edam type),607.0,0.086,26.8,530.0,71.4,0.00874,0.17,4.0,5.77,0.33,0.05,0.00138,0.09,0.658,0.0
"Firm/semi-hard cheese (gouda and edam type), QUAL Half fat or medium fat",705.0,0.086,30.8,550.0,70.9,0.01,0.23,4.0,7.1,0.32,0.06,0.0016,0.08,0.281,0.0
"Firm/semi-hard cheese (gouda and edam type), QUAL Low fat (naturally or reduced)",958.0,0.04,33.0,650.0,123.0,0.0085,0.28,4.25,5.6,0.35,0.05,0.0022,0.07,0.17,0.0
Fish and potatoes meal,34.0,0.05,17.0,108.0,297.0,0.009,0.31,0.4,2.992,0.07,0.12,0.0007,0.25,0.88,0.001
Fish and rice meal,35.0,0.08,22.0,192.0,277.0,0.023,0.62,0.7,5.9,0.21,0.05,0.0017,0.29,0.414,0.001
Fish and vegetables meal,29.0,0.06,20.0,150.0,223.0,0.0141,1.05,0.333,3.505,0.047,0.051,0.0026,0.164,1.139,0.02
Fish balls,29.0,0.048,24.0,169.0,238.0,0.0116,0.785,0.489,4.147,0.103,0.081,0.0025,0.275,0.985,0.001
"Fish balls, PROCESS Baking",55.0,0.052,24.0,180.0,226.0,,0.808,0.633,4.285,0.103,0.094,0.0024,0.235,1.421,0.002
"Fish balls, PROCESS Cooking in water",26.0,0.07,13.0,100.0,110.0,0.0233,0.2,0.3,4.285,0.03,0.02,0.001,0.235,1.421,0.002
"Fish balls, PROCESS Frying",76.0,0.04,21.6,133.0,238.0,0.013,0.51,0.48,2.67,0.145,0.065,0.0007,0.06,0.3,
"Fish balls, PROCESS Steaming",26.0,0.07,13.0,100.0,110.0,0.0233,0.2,0.3,4.285,0.03,0.02,0.001,0.235,1.421,0.002
"Fish fingers, breaded",15.0,0.2,23.0,161.0,259.0,0.035,0.7,0.56,6.4,0.08,0.14,0.001,0.14,,0.0
Fish gratin,101.0,0.069,26.0,208.0,229.0,0.015300000000000001,1.0,0.812,5.023,0.114,0.089,0.0026,0.243,1.252,0.0
Fish paste or surimi,31.0,0.056,17.6,131.0,199.0,0.02,1.21,0.9,2.9,0.04,,0.0006,0.02,2.1,0.0
Fish pt,12.0,0.05,21.0,130.0,170.0,0.013,0.8,0.5,13.3,0.09,0.02,0.003,0.34,2.71,0.004
Fish soup,89.0,0.102,11.7,93.0,140.0,0.0116,1.4,0.3,1.82,0.07,0.02,0.00095,0.08,0.5,0.007
"Fish soup, INGRED Tap water",89.0,0.06,11.7,93.0,140.0,0.0116,1.4,0.3,1.478,0.07,0.02,0.00095,0.08,0.5,0.004
Fishcakes,28.0,0.07,16.0,134.0,247.0,0.0083,0.71,0.6,4.425,0.09,0.14,0.001,0.19,1.122,0.002
Flan tart,22.0,0.06,10.0,94.0,114.0,0.002,0.4,0.18,0.9,0.04,0.04,,0.014,1.1,0.005
"Flat-fishes, dried",49.0,0.116,23.0,203.0,330.0,,0.25,0.744,9.1,0.08,0.036,0.0008,0.152,2.068,0.0
"Flat-fishes, dried, PROCESS Baking",84.0,0.08,48.0,240.0,350.0,,0.347,0.491,6.123,0.049,0.053,0.0013,0.194,1.13,0.0
"Flat-fishes, dried, PROCESS Cooking in water",84.0,0.08,48.0,240.0,350.0,,0.347,0.491,6.123,0.049,0.053,0.0013,0.194,1.13,0.0
"Flat-fishes, dried, PROCESS Steaming",84.0,0.08,48.0,240.0,350.0,,0.347,0.491,6.123,0.049,0.053,0.0013,0.194,1.13,0.0
Flavour enhancer,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flavoured bottled water,11.7,0.005,2.3,0.001,13.5,0.0001,,,0.231,,,0.0,,,0.004
"Flavoured bottled water, FORT Combination of vitamin and mineral only supplements",6.0,0.038,4.0,7.0,72.0,,0.193,0.041,0.231,0.008,0.007,0.0,0.027,0.336,0.004
"Flavoured bottled water, FORT Mineral only supplements",2.0,,,,16.0,0.0,,,0.231,,,0.0,,,0.004
"Flavoured bottled water, FORT Vitamin only supplements",6.0,0.038,4.0,7.0,72.0,,0.193,0.041,0.231,0.008,0.007,0.0,0.027,0.336,0.004
Flavoured milks,,0.08,,,,,,,,,,,,,
Flavoured sour cream,80.0,0.018,9.0,60.0,100.0,0.0025,0.11,0.32,0.64,0.15,0.03,0.0004,0.03,0.9,0.0
"Flavoured sour cream, QUAL Half fat or medium fat",100.0,0.023,11.0,80.0,130.0,,0.1,0.4,0.7,0.17,0.04,0.0003,0.04,0.6,0.0
"Flavoured sour cream, QUAL Low fat (naturally or reduced)",100.0,0.025,11.0,80.0,144.0,,0.06,0.43,0.667,0.15,0.035,0.0003,0.017,0.3,0.0
Flavoured traditional sour milk products,107.0,0.012,11.0,89.0,134.0,0.00643,0.074,0.322,0.73,0.151,0.036,0.0004,0.045,0.098,0.004
Flavoured whey,60.0,0.003,1.0,38.0,115.0,0.0002,0.118,0.047,0.386,0.134,0.033,0.0002,0.037,0.001,0.0
Florence fennels,70.0,0.02,8.0,45.0,400.0,,1.4,0.25,0.5,0.11,0.23,0.0,0.1,0.2,0.0040999999999999995
"Florence fennels, PROCESS Baking",43.7,0.13,10.8,17.3,270.0,0.001,0.2,0.16,0.542,0.01,0.02,0.0,0.12,0.32,0.004900000000000001
"Florence fennels, PROCESS Cooking in water",70.0,0.01,7.0,45.0,400.0,,1.4,0.4,0.445,0.01,0.05,0.0,0.08,0.2,0.004900000000000001
"Florence fennels, PROCESS Steaming",70.0,0.01,7.0,45.0,400.0,,1.4,0.4,0.494,0.01,0.05,0.0,0.08,0.2,0.004900000000000001
Flounders,35.0,0.036,27.0,182.0,394.0,0.020399999999999998,0.3,0.78,5.33,0.21,0.22,0.003,0.25,1.0,
"Flounders, PROCESS Baking",58.0,0.054,23.0,196.0,286.0,,0.306,0.605,7.171,0.229,0.213,0.0011,0.242,0.407,
"Flounders, PROCESS Cooking in water",16.0,0.04,25.0,179.0,262.0,0.032,0.7,0.6,7.195,0.12,0.06,0.001,0.15,0.5,
"Flounders, PROCESS Frying",58.0,0.054,23.0,196.0,286.0,0.027,0.306,0.605,7.171,0.229,0.213,0.0011,0.242,0.407,0.003
"Flounders, PROCESS Steaming",16.0,0.04,25.0,179.0,262.0,0.032,0.7,0.6,7.195,0.12,0.06,0.001,0.15,0.5,
Flour mix (like wheat/rye/barley/oats and other),17.0,0.3,51.0,176.0,240.0,0.0095,2.4,1.6,5.0,0.1,0.48,0.0,0.18,0.7,
Flowers used for herbal infusions,300.0,1.5,280.0,30.0,370.0,,78.0,2.0,10.483,0.9,0.0,0.0,0.3,0.0,0.0
Foamed sugar products (marshmallows),18.0,0.1,2.0,4.0,2.0,0.002,1.6,,0.433,0.0,0.0,0.0,0.0,0.0,0.0
"Follow-on formulae, liquid",62.0,0.007,8.0,80.0,126.0,0.0015,1.0,0.38,0.1,0.16,0.04,0.0003,0.03,0.63,
"Follow-on formulae, powder",630.0,0.3,50.0,390.0,700.0,,5.8,2.9,6.4,0.8,0.3,0.0015,0.3,8.58,
Fortified bottled water,2.0,,,,16.0,0.0,,,0.251,,,0.0,,,0.004
"Frankfurt-type sausage, PROCESS Baking",12.0,0.11,11.0,200.0,170.0,0.008,1.1,1.4,5.472,0.15,0.32,0.001,0.12,0.63,0.0
"Frankfurt-type sausage, PROCESS Cooking in water",22.0,0.06,10.0,150.0,78.0,0.007,1.1,1.4,6.5,0.08,0.5,0.00044,0.091,0.2,0.0
"Frankfurt-type sausage, PROCESS Steaming",22.0,0.06,10.0,150.0,78.0,0.007,1.1,1.4,6.133,0.08,0.5,0.00044,0.091,0.2,0.0
"Frankfurt-type sausage, QUAL Low fat (naturally or reduced), PROCESS Baking",15.0,0.085,26.0,157.0,326.0,,0.935,1.987,6.294,0.185,0.685,0.0014,0.451,0.237,0.014
"Frankfurt-type sausage, QUAL Low fat (naturally or reduced), PROCESS Cooking in water",22.0,0.06,10.0,150.0,117.0,0.007,1.1,1.4,6.294,0.08,0.5,0.00044,0.091,0.237,0.014
"Frankfurt-type sausage, QUAL Low fat (naturally or reduced), PROCESS Steaming",22.0,0.06,10.0,150.0,117.0,0.007,1.1,1.4,6.294,0.08,0.5,0.00044,0.091,0.237,0.014
"Frankfurter sausage, PROCESS Baking",15.0,0.11,21.0,211.0,212.0,0.0072,1.3,1.7,3.8,0.2,0.14,0.0011,0.15,0.1,0.0
"Frankfurter sausage, PROCESS Cooking in water",22.0,0.06,10.0,150.0,78.0,0.007,1.1,1.4,5.83,0.08,0.5,0.00044,0.091,0.2,0.0
"Frankfurter sausage, PROCESS Steaming",15.0,0.094,21.0,211.0,137.0,0.0072,1.3,2.3,3.63,0.2,0.14,0.0011,0.15,0.1,0.0
"Frankfurter sausage, QUAL Low fat (naturally or reduced), PROCESS Baking",15.0,0.085,26.0,157.0,326.0,,0.935,1.987,6.294,0.185,0.685,0.0014,0.451,0.237,0.014
"Frankfurter sausage, QUAL Low fat (naturally or reduced), PROCESS Cooking in water",22.0,0.06,10.0,150.0,117.0,0.007,1.1,1.4,6.294,0.08,0.5,0.00044,0.091,0.237,0.014
"Frankfurter sausage, QUAL Low fat (naturally or reduced), PROCESS Steaming",15.0,0.085,26.0,157.0,326.0,,0.935,1.987,6.294,0.185,0.685,0.0014,0.451,0.237,0.014
Fresh bratwurst,13.0,0.07,20.0,176.0,315.0,0.01,0.9,2.29,5.6,0.14,0.44,0.00069,0.365,0.7,
"Fresh bratwurst, PROCESS Baking",45.0,0.09,15.0,150.0,210.0,,1.3,2.3,5.713,0.18,0.51,0.001,0.21,0.309,0.009
"Fresh bratwurst, PROCESS Cooking in water",12.0,0.086,22.0,114.0,229.0,,0.875,1.845,5.713,0.169,0.397,0.0013,0.264,0.309,0.009
"Fresh bratwurst, PROCESS Steaming",12.0,0.086,22.0,114.0,229.0,,0.875,1.845,5.713,0.169,0.397,0.0013,0.264,0.309,0.009
Fresh egg pasta,64.0,0.8,33.0,150.0,85.0,0.023,1.4,1.4,2.5,0.03,,,0.02,0.487,0.001
"Fresh egg pasta, PROCESS Baking",9.0,0.153,31.0,62.0,53.0,,0.8,1.058,0.78,0.03,0.02,0.0,0.02,0.04,0.0
"Fresh egg pasta, PROCESS Cooking in water",21.0,0.15,31.0,88.0,40.0,0.013,1.2,0.9,1.7,0.03,0.02,,0.024,0.4,0.0
"Fresh egg pasta, PROCESS Steaming",21.0,0.15,31.0,88.0,40.0,0.013,1.2,0.9,1.7,0.03,0.02,0.0,0.024,0.4,0.0
Fresh raw sausages,13.0,0.07,20.0,176.0,315.0,0.01,0.9,2.29,5.43,0.14,0.44,0.00069,0.365,0.7,0.0
"Fresh raw sausages, PROCESS Baking",110.0,0.11,15.0,220.0,190.0,0.006,1.1,1.4,5.713,0.13,0.397,0.001,0.12,0.92,0.009
"Fresh raw sausages, PROCESS Cooking in water",10.0,0.055,12.3,277.0,249.0,0.0066,0.91,1.62,5.713,0.2,0.37,0.00028000000000000003,0.2,0.31,0.009
"Fresh raw sausages, PROCESS Frying",18.0,0.09,24.0,213.0,400.0,0.013,1.2,3.05,6.5,0.19,0.46,0.00088,0.34,1.5,0.009
"Fresh raw sausages, PROCESS Steaming",12.0,0.086,22.0,114.0,229.0,,0.875,1.845,5.713,0.169,0.397,0.0013,0.264,0.309,0.009
Fresh smoked sausages-deprecated,18.3,0.1,21.3,202.0,283.0,,2.2,1.5,7.101,0.147,0.365,0.00095,0.25,0.64,0.006
"Fresh smoked sausages-deprecated, QUAL Low fat (naturally or reduced)",13.0,0.075,24.0,112.0,260.0,,0.86,2.052,7.101,0.189,0.52,0.0017,0.389,0.309,0.006
"Fresh smoked sausages-deprecated, QUAL Low sodium / reduced salt",13.0,0.075,24.0,112.0,260.0,,0.86,2.052,7.101,0.189,0.52,0.0017,0.389,0.309,0.006
Fresh spiced sausages in casing,13.0,0.07,20.0,176.0,315.0,0.01,0.9,2.29,3.6,0.14,0.44,0.00069,0.365,0.7,
"Fresh spiced sausages in casing, PROCESS Baking",18.0,0.09,24.0,213.0,400.0,0.013,1.2,3.05,4.5,0.19,0.46,0.00088,0.34,1.5,
Freshwater bream - Europe,63.0,0.028,26.0,210.0,350.0,0.024,0.44,0.42,6.5,0.07,0.07,0.0016,0.33,1.3,0.0
Freshwater crabs,43.0,,22.0,224.0,254.0,,2.0,,,0.1,0.15,,,,
Freshwater crayfishes,58.0,0.24,26.8,110.0,138.0,0.0144,1.4,1.31,4.23,0.04,0.01,0.0027,2.1,1.5,0.0
"Freshwater crayfishes, PROCESS Baking",52.0,0.501,27.0,244.0,261.0,,2.057,1.585,5.095,0.109,,0.0029,2.287,0.121,0.0
"Freshwater crayfishes, PROCESS Cooking in water",60.0,1.35,34.0,200.0,250.0,0.13,1.0,2.5,6.0,0.1,,0.002,,1.5,0.0
"Freshwater crayfishes, PROCESS Frying",52.0,0.501,27.0,244.0,261.0,0.05,2.057,1.585,5.095,0.109,,0.0029,2.287,0.121,0.0
"Freshwater crayfishes, PROCESS Steaming",60.0,1.35,34.0,200.0,250.0,0.13,1.0,2.5,6.0,0.1,,0.002,,1.5,0.0
"Freshwater crayfishes, cooked-deprecated",60.0,1.35,34.0,200.0,250.0,0.13,1.0,2.5,4.141,0.1,0.15,0.002,,3.6,0.0
Freshwater crustaceans,45.5,0.34,26.0,197.0,199.0,0.0455,1.8,1.3,6.407,0.04,0.03,0.00235,0.85,0.75,0.0
"Freshwater crustaceans, PROCESS Baking",110.0,0.354,72.0,242.0,271.0,,1.796,2.605,7.126,0.037,0.049,0.0009,0.125,4.802,0.0
"Freshwater crustaceans, PROCESS Cooking in water",116.0,0.351,72.0,239.0,251.0,,1.769,2.727,5.845,0.03,0.048,0.0008,0.114,5.027,0.0
"Freshwater crustaceans, PROCESS Frying",110.0,0.354,72.0,242.0,271.0,,1.796,2.605,7.126,0.037,0.049,0.0009,0.125,4.802,0.0
"Freshwater crustaceans, PROCESS Steaming",97.0,0.31,63.0,212.0,238.0,,1.575,2.285,6.243,0.032,0.043,0.0008,0.11,4.212,0.0
Freshwater fish,38.0,0.02,21.0,190.0,270.0,0.02,0.4,0.53,2.4,0.14,0.18,0.005,0.23,0.85,
"Freshwater fish, PROCESS Baking",57.5,0.03,28.4,270.0,313.0,0.003,0.291,0.562,8.79,0.08,0.24,0.00497,0.4,1.0,0.009
"Freshwater fish, PROCESS Cooking in water",15.0,0.167,28.0,264.0,354.0,,0.414,0.648,6.311,0.067,0.079,0.005,0.203,1.885,0.009
"Freshwater fish, PROCESS Frying",14.0,0.171,29.0,271.0,389.0,,0.426,0.629,7.803,0.084,0.082,0.0055,0.225,1.895,0.009
"Freshwater fish, PROCESS Steaming",60.0,0.03,30.0,140.0,350.0,0.003,0.65,0.562,6.311,0.15,0.1,0.005,0.34,0.7,0.009
Freshwater shrimps or prawns,110.0,0.7,39.0,349.0,266.0,0.03,1.8,1.9,3.2,0.1,0.08,,,,
"Freshwater shrimps or prawns, PROCESS Cooking in water",45.5,0.34,26.0,197.0,199.0,0.0455,1.8,1.3,1.9,0.04,0.03,0.00235,0.85,0.75,
Fried eggs,59.0,0.06,13.0,200.0,151.0,0.028,2.3,1.3,4.1,0.53,0.04,0.0011,0.053,2.9,0.01
Fries (finger chips),9.0,0.07,21.0,77.0,426.0,0.002,0.5,0.37,4.33,0.07,0.14,0.0,0.6,1.0,0.002
Frogs (legs),18.0,,23.0,147.0,310.0,0.0141,1.5,2.0,3.9,0.25,0.14,,1.2,0.8,0.0
Frozen yoghurt,85.0,0.008,9.0,64.0,109.0,,0.061,0.314,0.529,0.125,0.026,0.0003,0.032,0.06,0.0
Fructose,,0.01,0.0,,1.0,0.0005,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fruit and vegetable juices and nectars specific for infants and young children,,,,,,,,,0.3,,,,,,
Fruit cake,15.0,0.07,8.0,53.0,130.0,0.003,0.5,0.34,1.1,0.05,0.03,0.00015,0.058,0.6,0.003
Fruit chips,138.0,0.235,75.4,70.4,844.0,0.000641,1.71,2.2,1.42,0.098,0.064,0.0,0.118,1.02,
"Fruit compote, apple",4.0,0.02,4.0,8.0,94.0,,0.3,0.04,0.2,0.02,0.02,0.0,0.05,0.4,0.003
"Fruit compote, apricot",12.0,0.05,7.0,7.0,190.0,0.001,0.8,0.1,0.6,0.03,0.02,0.0,0.05,0.311,0.002
"Fruit compote, mixed fruit",8.0,0.04,7.0,13.0,156.0,0.0003,0.4,0.06,0.12,0.01,0.01,0.0,0.1,0.2,
"Fruit compote, peach",4.0,0.044,6.0,11.0,86.0,,0.22,0.085,0.463,0.025,0.013,0.0,0.013,0.56,0.001
